MovieName,Year,IMDbRating,IMDbVotes,Awards,Language,AltText
3 Days to Kill,2014,6.2,79103,N/A,"English,French,German,Serbian","3 days to kill,3 days to kill 2014"
3 Generations,2015,5.8,4489,1 nomination.,"English,Spanish","3 generations,3 generations 2015"
3 Idiots,2009,8.4,282738,26 wins & 13 nominations.,"Hindi,English","3 idiots,3 idiots 2009"
3 Nights in the Desert,2014,5.5,1578,N/A,English,"3 nights in the desert,3 nights in the desert 2014"
Gold,2014,7,1508,2 nominations.,English,"gold,gold 2014"
Gone,2002,7.2,1025,N/A,English,"gone,gone 2002"
Gone,2006,5.4,3555,N/A,English,"gone,gone 2006"
Gone Girl,2014,8.1,721543,Nominated for 1 Oscar. Another 65 wins & 177 nominations.,English,"gone girl,gone girl 2014"
Good Girls Revolt,2015,8.2,4239,1 nomination.,English,"good girls revolt,good girls revolt 2015"
Good Morning Call,2016,8,1582,N/A,Japanese,"good morning call,good morning call 2016"
Goodbye to All That,2014,5.2,2017,1 win & 1 nomination.,English,"goodbye to all that,goodbye to all that 2014"
"Goodnight, Joseph Parker",2004,7.6,1461,1 nomination.,English,"goodnight joseph parker,goodnight joseph parker 2004,Goodnight Joseph Parker,goodnightjosephparker"
Grace,2009,5.2,7158,2 wins & 5 nominations.,English,"grace,grace 2009"
Gran Torino,2008,8.1,648071,Nominated for 1 Golden Globe. Another 20 wins & 17 nominations.,"English,Hmong","gran torino,gran torino 2008"
Grindhouse,2007,7.6,165646,7 wins & 15 nominations.,"English,Spanish","grindhouse,grindhouse 2007"
Grown Ups,2010,6,203768,3 wins & 4 nominations.,"English,Spanish","grown ups,grown ups 2010"
Guardians of the Galaxy,2014,8.1,879528,Nominated for 2 Oscars. Another 52 wins & 99 nominations.,English,"guardians of the galaxy,guardians of the galaxy 2014"
Guernsey,2005,6.2,605,3 wins & 5 nominations.,"Dutch,English","guernsey,guernsey 2005"
Guidance,2014,6.3,774,3 wins & 2 nominations.,English,"guidance,guidance 2014"
Damien,2016,7,6578,1 nomination.,English,"damien,damien 2016"
Dangal,2016,8.5,106456,15 wins.,"Hindi,Tamil,Telugu","dangal,dangal 2016"
Dark Horse,2005,7.2,2849,9 wins & 9 nominations.,"Danish,English","dark horse,dark horse 2005"
Dark Horse,2011,5.9,4992,3 nominations.,English,"dark horse,dark horse 2011"
Dark Skies,2013,6.3,64237,N/A,English,"dark skies,dark skies 2013"
Dark Water,2005,5.6,55338,5 nominations.,English,"dark water,dark water 2005"
Dawn of the Planet of the Apes,2014,7.6,378487,Nominated for 1 Oscar. Another 16 wins & 47 nominations.,"English,American Sign Language","dawn of the planet of the apes,dawn of the planet of the apes 2014"
300: Rise of an Empire,2014,6.2,254263,1 win & 6 nominations.,English,"300 rise of an empire,300 rise of an empire 2014,300 Rise of an Empire,300riseofanempire"
31,2016,5.1,13755,1 win & 7 nominations.,"English,Spanish,German","31,31 2016"
36 China Town,2006,5.6,3457,2 wins & 1 nomination.,Hindi,"36 china town,36 china town 2006"
4 Minute Mile,2014,6.3,2260,N/A,English,"4 minute mile,4 minute mile 2014"
404: Error Not Found,2011,7.2,1448,N/A,"Hindi,English","404 error not found,404 error not found 2011,404 Error Not Found,404errornotfound"
45 Years,2015,7.1,26491,Nominated for 1 Oscar. Another 20 wins & 52 nominations.,English,"45 years,45 years 2015"
48th Manikchand Filmfare Awards 2002,2003,8.9,867,N/A,"English,Hindi","48th manikchand filmfare awards 2002,48th manikchand filmfare awards 2002 2003"
49th Manikchand Filmfare Awards 2003,2004,9.2,886,N/A,"English,Hindi","49th manikchand filmfare awards 2003,49th manikchand filmfare awards 2003 2004"
4th Man Out,2015,6.6,6671,11 wins & 1 nomination.,English,"4th man out,4th man out 2015"
5 Flights Up,2014,6.2,7186,1 win.,English,"5 flights up,5 flights up 2014"
5 to 7,2014,7.1,15299,1 win & 1 nomination.,"English,French","5 to 7,5 to 7 2014"
